model_key	family	global_triplet_score_fr	triplet_rank_fr	global_triplet_score_nr	triplet_rank_nr	delta_global_triplet_score	delta_triplet_rank	abs_score_delta
siglip2_so400m_naflex	SigLIP2	0.9248518687329079	17	0.31358249772105745	75	0.6112693710118504	58	0.6112693710118504
siglip2_base_naflex	SigLIP2	0.966841385597083	5	0.3876651205350689	72	0.579176265062014	67	0.579176265062014
siglip2_base	SigLIP2	0.8875341841385597	29	0.37962346155144694	73	0.5079107225871127	44	0.5079107225871127
siglip2_large	SigLIP2	0.927073837739289	16	0.44180980936526365	69	0.4852640283740253	53	0.4852640283740253
fastvit_t8	FastViT	0.8798997265268915	33	0.4118325165499277	71	0.4680672099769638	38	0.4680672099769638
internvit_300m	InternViT	0.4540793072014585	74	0.9022231918008278	10	-0.44814388459936927	-64	0.44814388459936927
siglip2_so400m	SigLIP2	0.8231540565177757	42	0.41710990260063485	70	0.4060441539171409	28	0.4060441539171409
internvit_300m_v25	InternViT	0.5595943482224248	69	0.9529296639977285	4	-0.3933353157753037	-65	0.3933353157753037
vgg11_bn	VGG	0.8967639015496809	24	0.515287960517374	66	0.38147594103230686	42	0.38147594103230686
vgg11	VGG	0.9465587967183227	9	0.6007328326152391	54	0.3458259641030835	45	0.3458259641030835
fastvit_s12	FastViT	0.8336371923427529	40	0.5029592707730052	67	0.33067792156974773	27	0.33067792156974773
vgg19	VGG	0.9594348222424796	7	0.6566082625411097	41	0.30282655970136985	34	0.30282655970136985
internvit_6b_v25	InternViT	0.6989516864175023	61	0.9863355425874417	1	-0.28738385616993944	-60	0.28738385616993944
vgg16	VGG	0.9687784867821331	4	0.6837613330320714	36	0.28501715375006165	32	0.28501715375006165
vgg13	VGG	0.9348792160437557	12	0.6560134217381255	42	0.2788657943056302	30	0.2788657943056302
resnext50_32x4d	ResNeXt	0.8807543299908842	32	0.6046201286249904	53	0.27613420136589384	21	0.27613420136589384
swinv2_large	SwinV2	0.4077028258887876	75	0.6820494208066374	37	-0.27434659491784985	-38	0.27434659491784985
vgg13_bn	VGG	0.9076458523245214	21	0.6394183697055165	45	0.268227482619005	24	0.268227482619005
resnet34	ResNet	0.8883887876025525	28	0.6219254835556871	50	0.26646330404686536	22	0.26646330404686536
resnet18	ResNet	0.9000113947128533	23	0.6404665101489775	44	0.2595448845638758	21	0.2595448845638758
vgg19_bn	VGG	0.9458751139471285	10	0.6955663854023015	35	0.250308728544827	25	0.250308728544827
convnext_tiny	ConvNeXt	0.7824179580674567	49	0.5381341974702656	62	0.24428376059719115	13	0.24428376059719115
resnet50	ResNet	0.8612123974475844	39	0.6211744929839733	51	0.24003790446361106	12	0.24003790446361106
vgg16_bn	VGG	0.9095829535095716	20	0.6730181640163408	39	0.2365647894932308	19	0.2365647894932308
fastvit_t12	FastViT	0.761052871467639	56	0.5322166298313367	63	0.22883624163630234	7	0.22883624163630234
