model_key	family	global_quality_score_fr	quality_rank_fr	global_quality_score_nr	quality_rank_nr	delta_global_quality_score	delta_quality_rank	abs_score_delta
siglip2_so400m_naflex	SigLIP2	0.8134874535315986	41	0.2098312541102875	75	0.6036561994213111	34	0.6036561994213111
siglip2_base_naflex	SigLIP2	0.8817960037174721	22	0.2944286140575924	73	0.5873673896598797	51	0.5873673896598797
internvit_300m	InternViT	0.3741868029739777	75	0.9197252034530549	8	-0.5455384004790771	-67	0.5455384004790771
internvit_300m_v25	InternViT	0.43105250929368033	73	0.9615058625381219	3	-0.5304533532444415	-70	0.5304533532444415
siglip2_base	SigLIP2	0.8173791821561338	40	0.3008099615866385	72	0.5165692205694954	32	0.5165692205694954
internvit_6b_v25	InternViT	0.5483271375464684	66	0.988212493318015	1	-0.4398853557715465	-65	0.4398853557715465
vgg11_bn	VGG	0.9289904739776952	10	0.5606506582738743	68	0.3683398157038209	58	0.3683398157038209
vgg11	VGG	0.9380227695167287	6	0.5845621484349824	62	0.35346062108174625	56	0.35346062108174625
fastvit_t8	FastViT	0.8180181226765799	39	0.4766141356070668	69	0.34140398706951314	30	0.34140398706951314
siglip2_large	SigLIP2	0.7236291821561338	55	0.39548966951090253	70	0.3281395126452313	15	0.3281395126452313
swinv2_large	SwinV2	0.42713173791821557	74	0.752240863298883	28	-0.3251091253806674	-46	0.3251091253806674
vgg19	VGG	0.933869656133829	7	0.6184331993601462	51	0.3154364567736828	44	0.3154364567736828
vgg16	VGG	0.9381389405204461	5	0.6294741373715772	49	0.3086648031488689	44	0.3086648031488689
vgg13	VGG	0.9163278345724907	13	0.6120250506109153	53	0.3043027839615754	40	0.3043027839615754
resnext50_32x4d	ResNeXt	0.8687267657992566	26	0.568533420295753	66	0.3001933455035035	40	0.3001933455035035
vgg13_bn	VGG	0.9015741171003717	16	0.6078353406743641	56	0.29373877642600765	40	0.29373877642600765
resnet50	ResNet	0.8542634758364313	33	0.574091197496566	65	0.28017227833986524	32	0.28017227833986524
siglip2_so400m	SigLIP2	0.5904681691449813	63	0.31048945165991493	71	0.2799787174850664	8	0.2799787174850664
resnet34	ResNet	0.9280901486988848	11	0.6573220664871517	46	0.2707680822117331	35	0.2707680822117331
resnet18	ResNet	0.9319818773234201	8	0.6674871779019955	45	0.26449469942142456	37	0.26449469942142456
swin_base	Swin	0.4940462360594795	70	0.7411362012111269	32	-0.24708996515164738	-38	0.24708996515164738
fastvithd_7b	FastViTHD	0.969301812267658	3	0.7253048261285657	33	0.24399698613909226	30	0.24399698613909226
fastvithd_05b	FastViTHD	0.9937848513011153	1	0.7514475110441183	29	0.24233734025699694	28	0.24233734025699694
fastvithd_15b	FastViTHD	0.9922455855018587	2	0.7603317737644121	26	0.23191381173744663	24	0.23191381173744663
vgg16_bn	VGG	0.9062790427509294	15	0.6749627009262278	42	0.23131634182470162	27	0.23131634182470162
