dataset	model_key	family	layer_index	layer_name	triplet_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
AGIQA-3K	clip_vit_b16	CLIP	8	hidden_state_008	0.9061075660893345	2	0.5847084493253023	8.0	8
AGIQA-3K	clip_vit_b32	CLIP	7	hidden_state_007	0.8773928896991796	2	0.578334096531426	16.0	16
AGIQA-3K	clip_vit_l14	CLIP	19	hidden_state_019	0.9708295350957156	2	0.6229237047024079	4.0	4
AGIQA-3K	clip_vit_l14_336	CLIP	17	hidden_state_017	0.9854147675478577	2	0.6305072584893945	2.0	2
AGIQA-3K	convnext_base	ConvNeXt	1	hidden_state_001	0.4635369188696445	2	0.5412850847398691	66.0	66
AGIQA-3K	convnext_large	ConvNeXt	2	hidden_state_002	0.564721969006381	2	0.5472704662814376	53.0	53
AGIQA-3K	convnext_small	ConvNeXt	2	hidden_state_002	0.50820419325433	2	0.5441142293182679	62.0	62
AGIQA-3K	convnext_tiny	ConvNeXt	2	hidden_state_002	0.6394712853236099	2	0.5508611007194848	44.0	44
AGIQA-3K	dino_vitb16	DINO	5	hidden_state_005	0.6362807657247037	2	0.550480191738669	45.0	45
AGIQA-3K	dino_vitb8	DINO	5	hidden_state_005	0.6773017319963537	2	0.5527390695328097	41.0	41
AGIQA-3K	dino_vits16	DINO	7	hidden_state_007	0.7470373746581587	2	0.5583900484498305	27.0	27
AGIQA-3K	dino_vits8	DINO	6	hidden_state_006	0.7424794895168642	2	0.5578018369804707	29.0	29
AGIQA-3K	dinov2_base	DINOv2	5	hidden_state_005	0.8787602552415679	2	0.5783058793078861	15.0	15
AGIQA-3K	dinov2_giant	DINOv2	21	hidden_state_021	0.8801276207839562	2	0.5787166078382813	13.0	13
AGIQA-3K	dinov2_large	DINOv2	13	hidden_state_013	0.94257064721969	2	0.6004774950850236	6.0	6
AGIQA-3K	dinov2_small	DINOv2	7	hidden_state_007	0.8641750227894257	2	0.5755756187933185	17.0	17
AGIQA-3K	dinov3_vit7b16	DINOv3	21	block_021	0.8928896991795807	2	0.5859477833985701	11.0	11
AGIQA-3K	dinov3_vitb16	DINOv3	12	canonical_embedding	0.854147675478578	2	0.5742952834103443	18.0	18
AGIQA-3K	dinov3_vith16plus	DINOv3	21	block_021	0.9603463992707384	2	0.6144225704302777	5.0	5
AGIQA-3K	dinov3_vitl16	DINOv3	18	block_018	0.8956244302643573	2	0.5818091209902085	10.0	10
AGIQA-3K	dinov3_vits16	DINOv3	12	canonical_embedding	0.6731996353691887	2	0.5526047837878411	42.0	42
AGIQA-3K	dinov3_vits16plus	DINOv3	12	canonical_embedding	0.6777575205104831	2	0.552867697514589	40.0	40
AGIQA-3K	fastvit_ma36	FastViT	2	feature_map_002	0.6927985414767548	2	0.5538331030303918	37.0	37
AGIQA-3K	fastvit_s12	FastViT	1	feature_map_001	0.386052871467639	2	0.5368804160316989	73.0	73
AGIQA-3K	fastvit_sa12	FastViT	2	feature_map_002	0.5478577939835916	2	0.5453869847772261	56.0	56
AGIQA-3K	fastvit_sa24	FastViT	2	feature_map_002	0.7474931631722881	2	0.5590788896448755	26.0	26
AGIQA-3K	fastvit_sa36	FastViT	2	feature_map_002	0.4029170464904284	2	0.5379464543120418	71.0	71
AGIQA-3K	fastvit_t12	FastViT	1	feature_map_001	0.46718322698268006	2	0.5409673616740575	65.0	65
AGIQA-3K	fastvit_t8	FastViT	1	feature_map_001	0.18778486782133091	2	0.5275635626990693	75.0	75
AGIQA-3K	fastvithd_05b	FastViTHD	40	block_040	0.7461257976298997	2	0.5586455827415037	28.0	28
AGIQA-3K	fastvithd_15b	FastViTHD	41	block_041	0.768003646308113	2	0.5613606560772175	25.0	25
AGIQA-3K	fastvithd_7b	FastViTHD	40	block_040	0.711485870556062	2	0.5559307820722597	34.0	34
AGIQA-3K	ijepa_vith14	I-JEPA	23	hidden_state_023	0.7078395624430265	2	0.555444489916791	35.0	35
AGIQA-3K	internvit_300m	InternViT	10	hidden_state_010	0.812215132178669	2	0.5671696347568951	22.0	22
AGIQA-3K	internvit_300m_v25	InternViT	24	hidden_state_024	0.9047402005469463	2	0.5843642289524728	9.0	9
AGIQA-3K	internvit_6b_v25	InternViT	38	hidden_state_038	0.9990884229717412	2	0.6463238731854469	1.0	1
AGIQA-3K	resnet101	ResNet	2	hidden_state_002	0.4772105742935278	2	0.541393206640268	63.0	63
AGIQA-3K	resnet152	ResNet	2	hidden_state_002	0.45031905195989064	2	0.5400798889201119	68.0	68
AGIQA-3K	resnet18	ResNet	2	hidden_state_002	0.5592525068368277	2	0.5461742295761138	54.0	54
AGIQA-3K	resnet34	ResNet	2	hidden_state_002	0.5309936189608022	2	0.5439682734823599	58.5	58
AGIQA-3K	resnet50	ResNet	2	hidden_state_002	0.5679124886052871	2	0.5468735782074381	52.0	52
AGIQA-3K	resnext101_32x8d	ResNeXt	2	feature_map_002	0.6244302643573382	2	0.5498882951949913	46.0	46
AGIQA-3K	resnext50_32x4d	ResNeXt	2	feature_map_002	0.46855059252506837	2	0.5410864713197252	64.0	64
AGIQA-3K	siglip2_base	SigLIP2	1	pooler_output	0.5451230628988148	2	0.5472006224612733	57.0	57
AGIQA-3K	siglip2_base_naflex	SigLIP2	1	pooler_output	0.7939835916134914	2	0.5671211127525358	23.0	23
